treatment,outcome,id
0,4.2895338513048955,0
0,3.676235823154309,1
1,3.478502986705814,2
1,5.630782342448224,3
1,4.313704131771951,4
0,2.6786227521592227,5
0,3.3006412448222893,6
1,6.214962487837083,7
0,5.309574164651123,8
0,3.4809064385309365,9
0,4.011423733178581,10
0,4.5176459894928875,11
1,5.101841753036702,12
1,2.8106191113490917,13
1,3.5731123319165574,14
1,3.9258083467312246,15
0,2.719786531286197,16
0,4.090401607248045,17
1,3.665200462689339,18
0,3.2491822318052637,19
0,3.2311510929237937,20
1,4.634332263267025,21
1,4.619932903918143,22
1,4.4612850919346565,23
0,3.3340930827526383,24
1,3.887705547679496,25
1,3.538613978072384,26
1,5.006476323236871,27
0,4.565363942824786,28
1,3.1210187481134533,29
0,3.0428998713459317,30
1,4.864498591690638,31
1,4.220561878247436,32
1,4.162677338357082,33
0,3.0400748583903736,34
0,6.808512812028491,35
0,5.987391238070003,36
0,5.378214596923636,37
0,6.549735755297094,38
1,4.529967107126666,39
0,3.9768192373631703,40
1,5.073378618173257,41
1,4.3774465973241865,42
0,4.072626764528817,43
1,4.604663028737554,44
1,4.269547472955639,45
1,3.436843620943774,46
1,4.0668295319490415,47
0,3.1177621579112214,48
1,4.978035867312488,49
0,3.612724421547366,50
1,3.3120641810660896,51
0,4.273393437585851,52
1,6.289860386118724,53
0,3.6424513610107514,54
0,3.5087403011417657,55
1,4.396482888464449,56
1,4.419893719494296,57
0,2.398406010304403,58
0,5.2982633579730845,59
1,3.369737537300295,60
1,5.6796109562729225,61
0,5.700963608827551,62
1,3.2003950419341214,63
1,5.866469725623248,64
0,4.163865891749512,65
1,4.782092493404808,66
0,3.1573379594330797,67
1,4.750554287049266,68
0,5.146374362099984,69
1,5.390567903626272,70
0,4.520710875235454,71
1,3.2622442423358518,72
1,5.362770756111761,73
1,3.2933129213242,74
1,2.646658629033226,75
0,3.7217349832897524,76
1,5.479265056195882,77
0,3.409575711318171,78
1,2.403096133171063,79
1,4.644430008648026,80
0,2.8517005255647967,81
0,2.6525519206489934,82
1,3.3657763706779407,83
1,5.170163238950179,84
0,4.274098862844173,85
0,4.3473254530466825,86
1,5.513587633704442,87
0,2.646625609410253,88
0,2.5198449058694226,89
1,6.395404297968858,90
1,3.99417986645551,91
1,5.3391553044433095,92
1,3.3653619723892625,93
1,3.2927515143752553,94
0,3.4978968002940585,95
1,5.681571062176638,96
1,5.036200806283533,97
1,2.636520870244377,98
1,3.244894258100091,99
1,4.286834622227856,100
0,3.41361353762467,101
1,3.9624417797177904,102
0,5.008453126560807,103
1,3.162735436152548,104
1,5.92861297150302,105
1,3.9335954174998786,106
1,4.494122589122348,107
0,5.4167642665698175,108
1,5.340491735588062,109
0,4.629203407263595,110
0,3.7313917408791974,111
0,2.5697701763262986,112
1,3.7920978709997333,113
1,4.137182283311382,114
0,2.705222471626657,115
0,5.311875845534356,116
1,5.480514183795612,117
1,5.0892264764214055,118
1,4.505549299511745,119
1,4.573998659573567,120
0,3.690297192868391,121
1,3.7184727861780615,122
0,2.790761643520228,123
0,4.9585153636682335,124
0,4.014944402698864,125
1,5.676262606016578,126
0,3.5660575563134875,127
1,3.288530621932778,128
0,4.293792501860784,129
0,3.3758322536268297,130
0,4.368663160172837,131
1,4.890086229181575,132
0,6.123444263375328,133
0,3.9643510211285284,134
1,4.181590125152786,135
0,4.540680020673517,136
1,4.506346462114223,137
0,2.30350526449221,138
1,4.3923820168403305,139
1,6.040742944902963,140
1,3.6167157865802917,141
1,5.1804566696013,142
1,3.642098608425736,143
1,4.067622911856867,144
0,3.3136874010909008,145
1,2.7708638078684493,146
1,5.029330132097933,147
0,2.6421009950773304,148
0,4.473092525430728,149
1,2.7492508593770477,150
0,4.491162113007778,151
1,2.779125732993782,152
0,2.974437503323288,153
0,2.8142937804503414,154
1,5.248091426003614,155
1,6.456497730924583,156
0,4.3473136850208,157
1,4.666337047072137,158
1,6.062464018222324,159
0,3.4537112921919384,160
0,3.1431460196485794,161
0,4.932571585068799,162
1,4.338584676946622,163
1,3.7618288830874187,164
1,3.5776897252784137,165
0,3.5471864497022922,166
0,3.9442789690883755,167
0,3.6491734304067234,168
0,4.083481135230999,169
0,4.750917905694024,170
0,4.702302309392977,171
0,5.483356767674625,172
1,3.5604461210604397,173
0,4.2181182060811695,174
1,6.102988159852769,175
1,2.1978494204974988,176
0,5.414406446307254,177
0,5.114350023494046,178
1,5.093488169794003,179
0,5.850672161733059,180
0,5.378950089732166,181
0,2.6646269657614874,182
0,4.137822103359709,183
1,4.180495183902889,184
0,4.166084046914458,185
0,3.5410228954494776,186
1,5.3082174578455135,187
1,3.6193014641955443,188
1,3.660117419789869,189
0,4.207953221631501,190
0,4.20630593733504,191
1,3.9061116402391116,192
0,4.323885855800778,193
1,6.194523577624763,194
1,4.578021004110791,195
0,2.743468353191659,196
0,3.917936274303617,197
0,4.052141544151558,198
0,3.297425165734012,199
1,3.4718528226647978,200
0,5.033225039893885,201
1,4.579981700736838,202
1,4.625895749357791,203
0,2.8952077395745803,204
0,4.339320668624179,205
1,4.586046628781888,206
0,3.5787217250462255,207
0,3.371810713864131,208
1,4.93072178540041,209
1,4.6845890459883455,210
0,2.537650819910174,211
1,3.3779865256524317,212
1,3.887073367749694,213
0,1.9748539082473227,214
1,5.480938500453112,215
1,5.372007767267549,216
0,3.200597588826015,217
1,4.840544248915249,218
1,4.897766302065808,219
0,5.382054990926161,220
1,4.3323006305136955,221
1,3.0119090479829005,222
1,5.358725319178879,223
0,2.2466063847633166,224
1,5.092921474732153,225
0,4.073794353887615,226
1,3.5213424805681983,227
1,4.203700341331649,228
1,4.179316901901019,229
1,4.535974673019132,230
0,4.505817449006036,231
1,3.712761050985339,232
1,3.6069916899868986,233
1,5.295720112725451,234
0,2.8981470037328965,235
1,4.709419337570651,236
0,5.384514400311948,237
0,4.5918813432653405,238
1,4.380301197735239,239
1,3.619988751672186,240
1,5.293615739091108,241
1,4.431185614949084,242
1,4.836220796142914,243
1,4.229377222809936,244
1,5.360458366538307,245
1,4.385154315675098,246
1,3.1187945086957045,247
0,4.297639399767728,248
1,5.440133538941909,249
0,2.6422506574742775,250
1,2.83372326840946,251
0,4.451404946440548,252
0,3.0603518011383395,253
0,5.604713437029546,254
1,5.782984397553039,255
1,4.628793065312325,256
1,4.707393789301599,257
1,4.525532746083375,258
1,4.871734734866094,259
0,5.296770714199786,260
1,3.123849781533109,261
0,3.950795896249655,262
1,3.226062568723474,263
1,4.476627154097074,264
1,4.846077588502937,265
1,4.432072112920867,266
1,6.139707934829467,267
0,2.6534905772665947,268
1,3.2732934534857066,269
0,4.705271801371984,270
0,4.000286197852105,271
1,5.189153276664881,272
1,5.249107495038892,273
1,4.501533805188241,274
0,7.225086242380778,275
0,4.124321321042353,276
0,3.4958075249242233,277
1,3.9256534025211653,278
0,2.404060571324554,279
1,4.76185458112885,280
0,7.101955365668117,281
0,4.044970738639907,282
0,4.080528749599461,283
0,3.9013092652848878,284
1,3.333961237304268,285
0,4.155796633999985,286
1,5.485460268255806,287
0,4.16724993630765,288
0,5.591745364931962,289
0,1.8809320451509475,290
0,3.2305933746900366,291
1,3.7388994198149637,292
1,3.8120326093677646,293
0,4.595223937366447,294
1,3.9881198404988485,295
0,4.689832338209827,296
0,4.232000355185822,297
0,3.9756124875706456,298
1,4.829119150606416,299
1,4.749138379369797,300
1,2.9246697020791292,301
1,3.6436850475113047,302
0,4.764922534234187,303
0,3.754020527524655,304
1,5.038652975787647,305
1,2.419414731792767,306
0,4.934705203764633,307
0,3.1189347580941207,308
1,4.5814302941601825,309
